100.000000,203,273,155
90.000000,196,224,147
81.000000,178,210,100
72.900000,184,231,130
65.610000,180,259,126
59.049000,182,217,115
53.144100,200,252,161
47.829690,198,217,150
43.046721,158,182,133
38.742049,163,203,110
34.867844,165,210,145
31.381060,189,252,120
28.242954,163,182,145
25.418658,180,196,161
22.876792,187,217,140
20.589113,187,217,140
18.530202,187,217,140
16.677182,171,189,154
15.009464,176,224,120
13.508517,140,147,133
12.157665,140,147,133
10.941899,140,147,133
9.847709,140,147,133
8.862938,140,147,133
7.976644,140,147,133
7.178980,135,135,135
6.461082,135,135,135
5.814974,120,126,115
5.233476,120,126,115
4.710129,120,126,115
4.239116,120,126,115
3.815204,120,126,115
3.433684,120,126,115
3.090315,120,126,115
2.781284,120,126,115
2.503156,120,126,115
2.252840,120,126,115
2.027556,120,126,115
1.824800,120,126,115
1.642320,120,126,115
1.478088,120,126,115
1.330279,120,126,115
1.197252,120,126,115
1.077526,120,126,115
