100.000000,1016,1271,841
95.000000,1024,1215,868
90.250000,1050,1230,900
85.737500,1047,1218,806
81.450625,1024,1209,870
77.378094,1000,1189,825
73.509189,1021,1271,864
69.833730,1036,1178,840
66.342043,1052,1209,870
63.024941,997,1200,870
59.873694,904,1026,783
56.880009,917,1036,825
54.036009,959,1152,810
51.334208,990,1120,812
48.767498,929,1023,832
46.329123,884,972,812
44.012667,940,1000,825
41.812034,952,1073,868
39.721432,957,1170,806
37.735360,939,1053,754
35.848592,985,1064,840
34.056163,985,1110,896
32.353354,992,1116,868
30.735687,920,986,837
29.198902,893,900,884
27.738957,880,930,784
26.352009,880,930,784
25.034409,880,930,784
23.782689,880,930,784
22.593554,806,806,806
21.463876,805,805,805
20.390683,805,805,805
19.371148,805,805,805
18.402591,805,805,805
17.482461,805,805,805
16.608338,800,800,800
15.777921,800,800,800
14.989025,780,780,780
14.239574,780,780,780
13.527595,780,780,780
12.851216,780,780,780
12.208655,780,780,780
11.598222,780,780,780
11.018311,780,780,780
10.467395,780,780,780
9.944026,780,780,780
9.446824,780,780,780
8.974483,780,780,780
8.525759,780,780,780
8.099471,780,780,780
7.694498,780,780,780
7.309773,780,780,780
6.944284,780,780,780
6.597070,780,780,780
6.267216,780,780,780
5.953856,780,780,780
5.656163,780,780,780
5.373355,780,780,780
5.104687,780,780,780
4.849453,744,744,744
4.606980,744,744,744
4.376631,744,744,744
4.157799,744,744,744
3.949909,744,744,744
3.752414,744,744,744
3.564793,744,744,744
3.386554,744,744,744
3.217226,744,744,744
3.056365,744,744,744
2.903546,744,744,744
2.758369,744,744,744
2.620451,744,744,744
2.489428,744,744,744
2.364957,744,744,744
2.246709,744,744,744
2.134373,744,744,744
2.027655,744,744,744
1.926272,744,744,744
1.829958,744,744,744
1.738460,744,744,744
1.651537,744,744,744
1.568961,744,744,744
1.490513,744,744,744
1.415987,744,744,744
1.345188,744,744,744
1.277928,744,744,744
1.214032,744,744,744
1.153330,744,744,744
1.095664,744,744,744
1.040880,744,744,744
